00001740-n	izaki, entitate, sorkari
00001740-v	arnasa_hartu, arnastu, hats_hartu
00002137-n	abstrakzio
00002684-n	gauza, gauzaki, objektu
00002724-v	arnasa_estutu, bete, ito
00003431-v	korrok_egin, korrokada_egin, poker_egin
00003553-n	unitate
00003826-v	zotin_egin
00004032-v	hasperen_egin, zizpurutu
00004258-n	bizidun, organismo, izaki_bizidun
00004605-v	barreiatu, igorri, jariatu, jario
00004819-v	doministiku_egin, usin_egin
00005041-v	arnasa_hartu, arnastu
00005526-v	arnasestuka_jarri, hatsanditu
00005815-v	eztul_egin
00006269-n	bizitza, bizi
00006400-n	unitate_bizidun_berezitu
00006484-n	zelula
00006523-v	arnasbehartu, arnasotsa_atera
00006697-v	arnasestuka_jarri, hatsanditu, hatsantu
00007012-v	haize_egin, putz_egin
00007328-v	aharrausi_egin
00007347-n	kausa
00007549-v	esnifatu, usain_egin, usaindu, usnatu
00007739-v	kliskatu
00007846-n	gizaki, gizabanako, gizon, kristau, arima, lagun, pertsona
00008195-v	kliskatu
00008299-v	keinu_egin, kliskatu
00008602-v	ezkelka_begiratu
00009147-v	azalberritu, ileberritu, lumaberritu
00010435-v	jokatu, portatu
00013615-v	itxura_egin
00014034-v	astindu, eragin
00014201-v	dar-dar_egin, dardaratu, ikaratu
00014742-v	lo_egin
00015303-v	kuluxka_bat_egin
00015388-n	fauna, animalia, abere
00015498-v	siesta_egin
00017031-v	zurrungatu
00017222-n	flora, landare
00018158-v	jaiki
00018526-v	esnatu, itzarri
00018813-v	iratzarri
00019128-n	objektu_natural
00019613-n	gai, substantzia
00019982-v	ultzera_sortu, ultzeratu
00020671-v	hipnotizatu
00020827-n	gai, materia, substantzia
00021265-n	jan, elikagai, jaki, janari, bizigai, jateko, jangarri, jangai, hazkurri
00021939-n	artefaktu
00022686-v	adore_eman, bizitu, bizkortu, suspertu
00022903-n	gai
00023100-n	ezaugarri_psikologiko
00023271-n	kognizio
00023646-v	ondoezik_jarri, zorabiatu
00023773-n	eragite, motibazio
00024264-n	nolakotasun
00024649-v	freskatu
00024720-n	egoera
00025654-v	baretu, erlaxatu, lasaitu
00026153-v	urduritu
00026192-n	sentimendu
00026385-v	baretu, erlaxatu, lsaitu
00027167-n	leku, toki
00027268-v	luzatu
00027807-n	forma
00028270-n	denbora
00028565-v	irribarre_egin
00029378-n	jazoera, gertaera, gertakizun, gertakari
00029677-n	prozesu
00031264-n	talde
00031820-v	barre_egin
00031921-n	zerikusi, erlazio, harreman, lotura
00032297-v	dardara_eragin, dardararazi
00032613-n	jabetza, jabego
00032733-a	arin
00032823-n	gizarte-harreman
00033020-n	komunikazio
00033203-v	zorrotz_begiratu
00033615-n	kantitate, kopuru, neurri, zenbatasun
00034115-v	txalo_jo, txalotu
00034213-n	gertakari, fenomeno
00034479-n	gauza, zerbait
00034574-n	on_egite, ontasun
00035189-n	gauzatze, lortze
00035259-v	dutxatu
00035758-v	apaindu, garbitu, txukundu
00036362-v	garbitu
00036762-n	balentria
00036780-v	garbitu
00036932-v	xaboitu
00037006-n	maisulan
00037138-v	ahoa_garbitu, irakuzi, xafarratu
00037298-v	bizarra_egin, bizarra_kendu
00037396-n	ekintza, egintza, egin
00037919-v	bainatu, busti, ureztatu
00038262-n	bide
00038365-v	ilea_apaindu, orraztu
00038849-v	apaindu, dotoretu, pinpirindu, txukundu
00039021-n	elkarreragin, elkarrekintza
00039121-v	moztu
00039211-n	elkarreragin, elkarrekintza
00039297-n	harreman
00039488-v	izurtu, kizkurtu
00040152-n	hartu-eman
00040353-v	apaindu, dotoretu, txukundu
00040420-n	elkarrekikotasun
00040804-n	tratu
00040962-n	harremanak
00041188-n	jolaste, jokatze
00041468-n	jolasaldi, jolaste
00041554-v	makilatu, pintatu
00041687-v	leungarria_jarri
00041740-n	bola-joko
00041899-n	jabetze, eskuratze
00042173-v	hautseztatu, irineztatu
00042311-n	kausa, zergati
00042479-v	manikura_egin
00042541-n	erditze
00042641-v	manikura_egin
00042757-n	irteera, joanaldi, joate
00043195-n	aurkikuntza, aurkikunde
00043278-v	apain-apain_jarri, apaindu, txukundu
00043480-v	lurrindu, perfumatu, usain_egin
00043609-n	ezabapen, ezabatze
00043683-v	apaindu, dotoretu, txukundu
00044150-n	betearazpen
00044455-n	agerpen
00044673-n	berdintza, berdinketa, parekatze
00044900-n	hobitik_ateratze
00045250-n	propultsio
00045639-v	garatosatu, orraztu
00045646-n	indarberritze
00045817-v	argaldu, flakatu, mehetu
00045907-n	berreskuratze
00046022-v	mehetu, argaldu
00046151-v	loditu, gizendu, irabazi
00046177-n	ihes, ihesaldi
00046344-n	egitandi
00046382-v	biribildu
00046522-n	ukipen
00046534-v	apaindu, edertu, jantzi
00047018-n	egitandi, balentria
00047610-v	jantzi, jarri
00047745-n	errekor, marka
00047745-v	jantzi
00047941-n	buruturiko_ekintza
00047945-v	dotoretu, pinpirindu, txukundu
00048225-n	iriste, heltze
00048374-n	iriste, heltze, ailegatze
00048656-n	lortze
00048828-n	etorrera
00049003-n	sarrera, sartze
00049770-v	oinetakoak_jarri
00049900-v	biluzi, erantzi, larrugorritu
00050037-n	izen-emate, inskripzio
00050195-n	agertze, agerraldi, azaltze, ateraldi, ateratze
00050652-v	jantzi
00050887-n	berragertze
00051192-n	itzulera, etxeratze
00051385-n	aberriratze
00051525-n	barneratze
00052043-v	jantzi
00052146-n	ainguratze
00052334-n	lurreratze, lehorreratze
00052374-v	jantzi
00052500-n	lurreratze
00053097-n	agur
00053609-n	desagertze
00053913-n	erretiratze, ateratze
00054628-v	ernalarazi, sortarazi, sortu
00054652-n	bakarraldi, bakardade
00054821-n	ebakuazio
00055142-v	ugaldu
00055315-n	alde_egite, uzte
00055539-v	ugaldu, ugaritu
00055871-v	ugaldu, ugaritu
00055932-n	desbiazionismo
00056087-n	emigrazio
00056311-n	inmigrazio
00056334-v	ugaldu, ugaritu
00056683-v	errun
00056912-n	erretreta
00057486-n	aldentze
00057657-n	itsasoratze
00058002-n	lehorreratze
00058265-v	erdi, umea_egin
00058337-n	untziratze
00058794-v	erdi, umea_egin
00058897-v	erdi, haur_egin, sein_egin, umea_izan
00059376-n	itzurtze
00059552-n	taktika
00059728-n	bularrez_bular
00059769-v	abortatu, haurra_galdu, hilaurtu
00060414-n	atzerriratze, exodo
00061014-n	ozta-ozta_lortze
00061171-n	azaleratze
00061290-n	igorpen, bidalketa
00061598-n	burutze, burutzapen
00061917-n	gauzatze, burutze
00062133-n	klimax, orgasmo
00062451-n	burutze, betetze
00062806-n	lorpen
00063014-n	errekor, marka
00063095-v	jaio
00063291-v	haserretu, sumindu
00063652-n	arrakasta
00063916-v	baretu, lasaitu
00064018-n	irabazte
00064095-v	arindu, baretu, gozatu, lasaitu, leundu
00064643-v	atsekabetu, min_eman, mindu
00064889-v	alditxartu, gaixotu, larri_jarri, ondoeztu
00065070-v	jasan, pairatu, sufritu
00065216-n	konkista, erdiespen
00065370-v	gaixorik_egon, ondoezik_egon, ukan, gaixo_izan, eduki, eri_izan, gaixo_egon, gaixorik_izan, ondoezik_izan, -ko_gaitza_izan, eri_egon
00065575-n	gainditze
00065855-n	ziurtagiri, egiaztagiri
00066025-v	adia_egin, adiakatu, ahuendatu, hasperen_egin, kexatu
00066191-v	malkoak_isuri, negar_egin
00066216-n	alferrik_galtze, galtze
00066636-n	porrot
00066901-n	hutsegite, ez_gainditze
00067129-v	negar-zotinka_ari_izan, zinkurinatu
00067254-n	txikarra_egite, piper_egite, sasieskola_egite
00067274-v	mainak_egin, zinkurinatu
00067397-n	ez_agertze
00067545-v	izerditu
00067707-n	kapitulazio
00067999-v	izerditu
00068333-n	berrerortze
00068755-n	desilusio, desengainu
00068901-n	hauste, ez_betetze
00069012-v	tantaka_ari_izan
00069879-v	sakitu, zauritu
00070816-v	atsekabetu, nahigabetu, samindu
00070965-n	hanka-sartze, hutsegite, huts, erru, falta, oker, akats
00071646-v	martirizatu
00072068-n	hutsegite
00072261-n	orban
00072473-n	nahaste
00072808-n	gaizki_kalkulatze, kalkulu_oker
00073032-n	hutsegite
00073343-v	bota
00073713-n	itxuraldatze, distortsio
00074346-a	natural
00074524-n	lapsus
00074594-a	natural
00074624-n	deskuidu, oharkabetasun
00074834-v	odolustu
00075021-v	nekatu
00075421-v	akitu, nekatu, unatu
00075618-n	nahaspila, korapilo
00075912-n	ilupa
00076114-v	aspertu, gogaitu
00076196-n	solezismo
00076393-n	hanka_sartze
00076400-v	bota, botaka_egin, goitika_egin, goraka_egin, okaztatu
00076563-n	irristada, larrapastada
00076884-n	erorketa
00077698-v	ito
00077950-v	ito, itoarazi
00077981-n	gaixotze
00078138-v	izoztu, jelatu
00078578-v	hirrikinatu, karranka_egin, karraskatu
00078760-v	tratamendua_eman, tratamendua_jarri, tratatu, zaindu
00079018-n	erosketa
00079212-n	berrerosketa
00080304-v	tratamendua_eman, tratamendua_jarri, tratatu
00080743-n	erosteko_aukera, erosteko_opzio
00081395-n	sustapen, pizgarri, sustagarri
00081572-n	erosketa
